match_id,player1,player2,winner,result_date,start_raw,score,sets_player1,sets_player2,odds1_avg,odds2_avg,retired,source_url
3214361,Khachanov,Trungelliti,Khachanov,2026-05-27,"today , 11:00","Khachanov def. Trungelliti 7-6(5), 5-7, 6-1, 7-6(4)",3,1,1.26,3.88,False,https://www.tennisexplorer.com/match-detail/?id=3214361
3214367,Davidovich Fokina,Tirante,Tirante,2026-05-27,"today , 11:00","Tirante def. Davidovich Fokina 4-6, 7-6(4), 6-1, 6-3",1,3,2.15,1.7,False,https://www.tennisexplorer.com/match-detail/?id=3214367
3215537,Cina,De Jong,De Jong,2026-05-27,"today , 11:00","De Jong def. Cina 6-3, 6-1, 6-3",0,3,2.21,1.66,False,https://www.tennisexplorer.com/match-detail/?id=3215537
3216255,Ugo Carabelli,Rublev,Rublev,2026-05-27,"today , 12:30","Rublev def. Ugo Carabelli 6-1, 1-6, 6-3, 7-6(5)",1,3,3.88,1.26,False,https://www.tennisexplorer.com/match-detail/?id=3216255
3215541,Navone,Mensik,Mensik,2026-05-27,"today , 13:00","Mensik def. Navone 6-3, 2-6, 6-4, 1-6, 7-6(11)",2,3,2.01,1.79,False,https://www.tennisexplorer.com/match-detail/?id=3215541
3214583,Borges,Kecmanovic,Borges,2026-05-27,"today , 14:00","Borges def. Kecmanovic 3-6, 6-2, 6-1, 6-2",3,1,2.44,1.55,False,https://www.tennisexplorer.com/match-detail/?id=3214583
3215491,Duckworth,Jodar,Jodar,2026-05-27,"today , 14:00","Jodar def. Duckworth 6-1, 6-7(5), 6-4, 7-5",1,3,15.1,1.02,False,https://www.tennisexplorer.com/match-detail/?id=3215491
3215553,Kokkinakis,Carreno-Busta,Carreno-Busta,2026-05-27,"today , 14:00","Carreno-Busta def. Kokkinakis 7-5, 4-6, 1-0 retired",0,1,3.19,1.35,True,https://www.tennisexplorer.com/match-detail/?id=3215553
3214939,Fonseca,Prizmic,Fonseca,2026-05-27,"today , 14:30","Fonseca def. Prizmic 3-6, 4-6, 6-3, 6-1, 6-2",3,2,1.85,1.94,False,https://www.tennisexplorer.com/match-detail/?id=3214939
3215555,Humbert,Halys,Halys,2026-05-27,"today , 14:30","Halys def. Humbert 6-4, 7-6(4), 7-6(8)",0,3,1.65,2.23,False,https://www.tennisexplorer.com/match-detail/?id=3215555
