h2h_player1_wins,h2h_player2_wins,homeaway_avg_odds1,homeaway_avg_odds2,market_odds_check,match_id,match_url,player1,player2,set_odds_handicap_player1,set_odds_handicap_player2,set_odds_player1_wins_2_0,set_odds_player1_wins_3_0,set_odds_player1_wins_set,set_odds_player2_wins_2_0,set_odds_player2_wins_3_0,set_odds_player2_wins_set,set_odds_table_player1_minus_1_5,set_odds_table_player1_plus_1_5,set_odds_table_player2_minus_1_5,set_odds_table_player2_plus_1_5,set_odds_validation,source_lines_sample,title
1,1,1.07,8.44,ok,3218275,https://www.tennisexplorer.com/match-detail/?id=3218275,Cerundolo,Svajda,Cerundolo Francisco,Svajda Zachary,,1.63,,,21.19,2.06,1.19,1.02,4.28,11.54,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Cerundolo - Svajda"", ""Today"", "", 11:00,"", ""French Open"", "", 3. round, clay"", ""Cerundolo Francisco"", ""Svajda Zachary"", ""26."", ""Singles ranking"", ""85."", ""13. 8. 1998"", ""Birthdate"", ""-"", ""185 cm"", ""Height"", ""175 cm"", ""78 kg"", ""Weight"", ""59 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk)"", ""W/L - 2026"", ""Career - Cerundolo"", ""Career - Svajda"", ""Surface"", ""Cerundolo Francisco"", ""Svajda Zachary"", ""Indoors"", ""-"", ""2/1"", ""Clay"", ""15/7"", ""3/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/4"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""380/209"", ""294/131"", ""54/47"", ""16/15"", ""9/11"", ""7/5"", ""2026"", ""22/11"", ""15/7"", ""7/4"", ""-"", ""-"", ""-"", ""2025"", ""40/26"", ""21/11"", ""14/9"", ""4/3"", ""0/2"", ""1/1"", ""2024"", ""35/32"", ""20/12"", ""5/11"", ""6/4"", ""0/3"", ""4/2"", ""2023"", ""39/26"", ""18/12"", ""10/10"", ""3/2"", ""6/2"", ""2/0"", ""2022"", ""36/30"", ""25/12"", ""7/8""]",Cerundolo - Svajda
0,1,1.47,2.68,ok,3218223,https://www.tennisexplorer.com/match-detail/?id=3218223,Cobolli,Tien,Cobolli Flavio,Tien Learner,,3.18,1.07,,7.33,1.32,1.84,1.23,1.86,3.77,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Cobolli - Tien"", ""Today"", "", 12:00,"", ""French Open"", "", 3. round, clay"", ""Cobolli Flavio"", ""Tien Learner"", ""14."", ""Singles ranking"", ""18."", ""6. 5. 2002"", ""Birthdate"", ""2. 12. 2005"", ""-"", ""Height"", ""-"", ""71 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""left"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk), Stan Sport (Aus), HBO Max (Gbr), TNT Sports 4 (Gbr), TNT Sports Ultimate (Gbr), TNT Sports 5 (Gbr)"", ""W/L - 2026"", ""Career - Cobolli"", ""Career - Tien"", ""Surface"", ""Cobolli Flavio"", ""Tien Learner"", ""Indoors"", ""0/2"", ""0/1"", ""Clay"", ""11/5"", ""9/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""10/5"", ""11/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""268/196"", ""159/100"", ""70/48"", ""26/38"", ""9/9"", ""4/1"", ""2026"", ""21/12"", ""11/5"", ""10/5"", ""0/2"", ""-"", ""-"", ""2025"", ""39/31"", ""15/6"", ""9/13"", ""6/9"", ""6/3"", ""3/0"", ""2024"", ""44/29"", ""11/9"", ""26/13"", ""3/2"", ""3/4"", ""1/1"", ""2023"", ""57/36"", ""44/23"", ""10/6"", ""3/6"", ""0/1"", ""-"", ""2022"", ""37/35"", ""26/22"", ""6/4""]",Cobolli - Tien
,,1.44,2.78,ok,3218453,https://www.tennisexplorer.com/match-detail/?id=3218453,Berrettini,Comesana,Berrettini Matteo,Comesana Francisco,,3.04,1.06,,7.98,1.32,1.82,1.21,1.9,3.95,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Berrettini - Comesana"", ""Today"", "", 13:00,"", ""French Open"", "", 3. round, clay"", ""Berrettini Matteo"", ""Comesana Francisco"", ""105."", ""Singles ranking"", ""102."", ""12. 4. 1996"", ""Birthdate"", ""6. 10. 2000"", ""196 cm"", ""Height"", ""-"", ""95 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk)"", ""W/L - 2026"", ""Career - Berrettini"", ""Career - Comesana"", ""Surface"", ""Berrettini Matteo"", ""Comesana Francisco"", ""Indoors"", ""-"", ""-"", ""Clay"", ""10/9"", ""11/11"", ""Grass"", ""-"", ""-"", ""Hard"", ""4/3"", ""2/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""411/206"", ""121/58"", ""159/91"", ""73/41"", ""46/14"", ""12/2"", ""2026"", ""14/12"", ""10/9"", ""4/3"", ""-"", ""-"", ""-"", ""2025"", ""23/17"", ""4/3"", ""10/9"", ""5/4"", ""1/1"", ""3/0"", ""2024"", ""36/13"", ""15/1"", ""7/6"", ""3/3"", ""6/3"", ""5/0"", ""2023"", ""14/12"", ""2/0"", ""9/10"", ""-"", ""3/2"", ""-"", ""2022"", ""32/13"", ""4/2"", ""15/9""]",Berrettini - Comesana
,,1.65,2.24,ok,3218333,https://www.tennisexplorer.com/match-detail/?id=3218333,Cerundolo,Landaluce,Cerundolo Juan Manuel,Landaluce Martin,,3.72,1.11,,5.59,1.24,2.17,1.33,1.62,3.02,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Cerundolo - Landaluce"", ""Today"", "", 13:30,"", ""French Open"", "", 3. round, clay"", ""Cerundolo Juan Manuel"", ""Landaluce Martin"", ""56."", ""Singles ranking"", ""69."", ""15. 11. 2001"", ""Birthdate"", ""8. 1. 2006"", ""183 cm"", ""Height"", ""-"", ""68 kg"", ""Weight"", ""-"", ""left"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk)"", ""W/L - 2026"", ""Career - Cerundolo"", ""Career - Landaluce"", ""Surface"", ""Cerundolo Juan Manuel"", ""Landaluce Martin"", ""Indoors"", ""-"", ""2/4"", ""Clay"", ""19/10"", ""10/6"", ""Grass"", ""-"", ""-"", ""Hard"", ""2/3"", ""10/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""318/197"", ""297/163"", ""21/25"", ""0/4"", ""0/5"", ""-"", ""2026"", ""21/12"", ""19/10"", ""2/2"", ""-"", ""-"", ""-"", ""2025"", ""49/30"", ""39/19"", ""10/9"", ""-"", ""0/2"", ""-"", ""2024"", ""46/28"", ""46/25"", ""0/3"", ""-"", ""-"", ""-"", ""2023"", ""41/32"", ""37/28"", ""4/2"", ""-"", ""0/2"", ""-"", ""2022"", ""27/17"", ""24/11"", ""3/6""]",Cerundolo - Landaluce
,,4.83,1.18,ok,3218405,https://www.tennisexplorer.com/match-detail/?id=3218405,Kouame,Tabilo,Kouame Moise,Tabilo Alejandro,,13.0,1.67,,2.13,1.01,7.05,2.77,1.08,1.39,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Kouame - Tabilo"", ""Today"", "", 14:00,"", ""French Open"", "", 3. round, clay"", ""Kouame Moise"", ""Tabilo Alejandro"", ""318."", ""Singles ranking"", ""36."", ""6. 3. 2009"", ""Birthdate"", ""2. 6. 1997"", ""-"", ""Height"", ""188 cm"", ""-"", ""Weight"", ""75 kg"", ""right"", ""Plays"", ""left"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk), Eurosport 2 (Ger), Eurosport 2 (Ned)"", ""W/L - 2026"", ""Career - Kouame"", ""Career - Tabilo"", ""Surface"", ""Kouame Moise"", ""Tabilo Alejandro"", ""Indoors"", ""17/5"", ""-"", ""Clay"", ""7/4"", ""23/9"", ""Grass"", ""-"", ""-"", ""Hard"", ""1/1"", ""6/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""46/28"", ""15/14"", ""12/6"", ""19/8"", ""-"", ""-"", ""2026"", ""25/10"", ""7/4"", ""1/1"", ""17/5"", ""-"", ""-"", ""2025"", ""20/16"", ""8/10"", ""11/5"", ""1/1"", ""-"", ""-"", ""2024"", ""1/2"", ""-"", ""-"", ""1/2"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""455/292"", ""272/161"", ""128/87""]",Kouame - Tabilo
,,2.59,1.49,ok,3218457,https://www.tennisexplorer.com/match-detail/?id=3218457,Arnaldi,Collignon,Arnaldi Matteo,Collignon Raphael,,7.04,1.29,,3.3,1.08,3.58,1.81,1.25,1.91,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Arnaldi - Collignon"", ""Today"", "", 14:30,"", ""French Open"", "", 3. round, clay"", ""Arnaldi Matteo"", ""Collignon Raphael"", ""104."", ""Singles ranking"", ""62."", ""22. 2. 2001"", ""Birthdate"", ""13. 1. 2002"", ""-"", ""Height"", ""-"", ""-"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk)"", ""W/L - 2026"", ""Career - Arnaldi"", ""Career - Collignon"", ""Surface"", ""Arnaldi Matteo"", ""Collignon Raphael"", ""Indoors"", ""-"", ""5/0"", ""Clay"", ""10/6"", ""12/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""1/4"", ""8/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""255/173"", ""147/80"", ""86/59"", ""14/27"", ""4/6"", ""4/1"", ""2026"", ""11/9"", ""10/6"", ""1/3"", ""-"", ""-"", ""-"", ""2025"", ""23/26"", ""7/6"", ""11/14"", ""5/4"", ""0/2"", ""-"", ""2024"", ""29/26"", ""10/9"", ""17/13"", ""0/2"", ""1/2"", ""1/0"", ""2023"", ""51/26"", ""23/7"", ""21/15"", ""1/2"", ""3/1"", ""3/1"", ""2022"", ""50/36"", ""37/21"", ""9/3""]",Arnaldi - Collignon
,,2.48,1.54,ok,3218331,https://www.tennisexplorer.com/match-detail/?id=3218331,Faria,Tiafoe,Faria Jaime,Tiafoe Frances,,7.13,1.26,,3.51,1.08,3.53,1.76,1.26,1.97,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Faria - Tiafoe"", ""Today"", "", 16:00,"", ""French Open"", "", 3. round, clay"", ""Faria Jaime"", ""Tiafoe Frances"", ""115."", ""Singles ranking"", ""22."", ""6. 8. 2003"", ""Birthdate"", ""20. 1. 1998"", ""-"", ""Height"", ""188 cm"", ""-"", ""Weight"", ""86 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk), Eurosport 2 (Ger), Eurosport 2 (Ned)"", ""W/L - 2026"", ""Career - Faria"", ""Career - Tiafoe"", ""Surface"", ""Faria Jaime"", ""Tiafoe Frances"", ""Indoors"", ""2/1"", ""1/1"", ""Clay"", ""27/11"", ""6/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""5/2"", ""14/7"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""219/138"", ""106/67"", ""102/53"", ""6/10"", ""5/4"", ""0/4"", ""2026"", ""33/14"", ""26/11"", ""5/2"", ""2/1"", ""-"", ""-"", ""2025"", ""25/29"", ""9/14"", ""9/6"", ""2/5"", ""5/2"", ""0/2"", ""2024"", ""53/25"", ""27/14"", ""24/5"", ""2/2"", ""0/2"", ""0/2"", ""2023"", ""49/31"", ""16/12"", ""33/17"", ""0/2"", ""-"", ""-"", ""2022"", ""43/24"", ""23/12"", ""20/12""]",Faria - Tiafoe
1,0,1.34,3.26,ok,3218455,https://www.tennisexplorer.com/match-detail/?id=3218455,Auger Aliassime,Nakashima,Auger Aliassime Felix,Nakashima Brandon,,2.68,1.04,,9.04,1.4,1.65,1.16,2.12,4.69,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Auger Aliassime - Nakashima"", ""Today"", "", 20:15,"", ""French Open"", "", 3. round, clay"", ""Auger Aliassime Felix"", ""Nakashima Brandon"", ""6."", ""Singles ranking"", ""35."", ""8. 8. 2000"", ""Birthdate"", ""3. 8. 2001"", ""193 cm"", ""Height"", ""185 cm"", ""88 kg"", ""Weight"", ""77 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk), Stan Sport (Aus), HBO Max (Gbr), TNT Sports 4 (Gbr), TNT Sports Ultimate (Gbr), TNT Sports 5 (Gbr)"", ""W/L - 2026"", ""Career - Auger Aliassime"", ""Career - Nakashima"", ""Surface"", ""Auger Aliassime Felix"", ""Nakashima Brandon"", ""Indoors"", ""8/1"", ""1/1"", ""Clay"", ""6/4"", ""5/4"", ""Grass"", ""-"", ""-"", ""Hard"", ""9/5"", ""9/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""422/245"", ""132/75"", ""141/100"", ""108/46"", ""32/21"", ""9/3"", ""2026"", ""23/10"", ""6/4"", ""9/5"", ""8/1"", ""-"", ""-"", ""2025"", ""52/26"", ""3/6"", ""24/10"", ""19/6"", ""6/4"", ""-"", ""2024"", ""34/25"", ""17/8"", ""6/10"", ""6/5"", ""2/2"", ""3/0"", ""2023"", ""24/20"", ""1/3"", ""13/13"", ""9/2"", ""1/2"", ""-"", ""2022"", ""64/28"", ""11/7"", ""14/9""]",Auger Aliassime - Nakashima
0,2,,,ok,3218747,https://www.tennisexplorer.com/match-detail/?id=3218747,De Jong,Zverev,,,,,,,,,,,,,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""De Jong - Zverev"", ""31.05.2026"", "","", ""French Open"", "", round of 16, clay"", ""De Jong Jesper"", ""Zverev Alexander"", ""106."", ""Singles ranking"", ""3."", ""31. 5. 2000"", ""Birthdate"", ""20. 4. 1997"", ""180 cm"", ""Height"", ""198 cm"", ""70 kg"", ""Weight"", ""90 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""W/L - 2026"", ""Career - De Jong"", ""Career - Zverev"", ""Surface"", ""De Jong Jesper"", ""Zverev Alexander"", ""Indoors"", ""0/1"", ""-"", ""Clay"", ""14/9"", ""16/4"", ""Grass"", ""-"", ""-"", ""Hard"", ""0/5"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""325/204"", ""192/106"", ""94/52"", ""29/31"", ""6/12"", ""4/3"", ""2026"", ""15/16"", ""14/9"", ""0/5"", ""0/1"", ""-"", ""1/1"", ""2025"", ""38/34"", ""21/15"", ""8/7"", ""6/6"", ""2/5"", ""1/1"", ""2024"", ""51/26"", ""36/16"", ""12/5"", ""2/4"", ""1/1"", ""-"", ""2023"", ""59/23"", ""34/14"", ""19/4"", ""3/2"", ""3/3"", ""-"", ""2022"", ""26/30"", ""12/15"", ""12/7"", ""2/5"", ""0/3"", ""-"", ""2021"", ""35/31"", ""30/19""]",De Jong - Zverev
,,1.61,2.27,ok,3218741,https://www.tennisexplorer.com/match-detail/?id=3218741,Ruud,Fonseca,Ruud Casper,Fonseca Joao,,3.94,1.09,,6.43,1.23,2.1,1.29,1.67,3.31,fallback_parser_order,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""30.05. 01:17,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Ruud - Fonseca"", ""31.05.2026"", "", 11:00,"", ""French Open"", "", round of 16, clay"", ""Ruud Casper"", ""Fonseca Joao"", ""16."", ""Singles ranking"", ""30."", ""22. 12. 1998"", ""Birthdate"", ""21. 8. 2006"", ""183 cm"", ""Height"", ""185 cm"", ""77 kg"", ""Weight"", ""73 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bwin"", "","", ""1xBet"", ""HBO Max (Cze/Svk)"", ""W/L - 2026"", ""Career - Ruud"", ""Career - Fonseca"", ""Surface"", ""Ruud Casper"", ""Fonseca Joao"", ""Indoors"", ""-"", ""-"", ""Clay"", ""16/4"", ""10/6"", ""Grass"", ""-"", ""-"", ""Hard"", ""9/7"", ""4/3"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""485/263"", ""269/117"", ""130/87"", ""61/45"", ""6/9"", ""19/5"", ""2026"", ""25/11"", ""16/4"", ""9/7"", ""-"", ""-"", ""-"", ""2025"", ""42/17"", ""14/5"", ""15/9"", ""11/3"", ""-"", ""2/0"", ""2024"", ""54/27"", ""24/7"", ""21/10"", ""6/8"", ""1/1"", ""2/1"", ""2023"", ""39/23"", ""22/8"", ""12/12"", ""4/2"", ""1/1"", ""-"", ""2022"", ""53/24"", ""25/7"", ""19/9""]",Ruud - Fonseca
