h2h_player1_wins,h2h_player2_wins,homeaway_avg_odds1,homeaway_avg_odds2,market_odds_check,match_id,match_url,player1,player2,set_odds_handicap_player1,set_odds_handicap_player2,set_odds_player1_wins_2_0,set_odds_player1_wins_set,set_odds_player2_wins_2_0,set_odds_player2_wins_set,set_odds_table_player1_minus_1_5,set_odds_table_player1_plus_1_5,set_odds_table_player2_minus_1_5,set_odds_table_player2_plus_1_5,set_odds_validation,source_lines_sample,title
1,0,2.3,1.6,ok,3193922,https://www.tennisexplorer.com/match-detail/?id=3193922,Zhang,Altmaier,Zhang Zhizhen,Altmaier Daniel,3.71,1.48,2.48,1.23,3.75,1.48,1.23,2.46,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Zhang - Altmaier"", ""Today"", "", 11:00,"", ""Rome"", "", 1. round, clay"", ""Zhang Zhizhen"", ""Altmaier Daniel"", ""239."", ""Singles ranking"", ""64."", ""16. 10. 1996"", ""Birthdate"", ""12. 9. 1998"", ""193 cm"", ""Height"", ""191 cm"", ""87 kg"", ""Weight"", ""88 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Zhang"", ""Career - Altmaier"", ""Surface"", ""Zhang Zhizhen"", ""Altmaier Daniel"", ""Indoors"", ""-"", ""-"", ""Clay"", ""1/3"", ""7/7"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/8"", ""0/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""343/289"", ""127/88"", ""174/160"", ""24/26"", ""12/13"", ""6/2"", ""2026"", ""9/11"", ""1/3"", ""7/8"", ""-"", ""-"", ""1/0"", ""2025"", ""6/13"", ""-"", ""2/10"", ""3/3"", ""-"", ""1/0"", ""2024"", ""27/29"", ""9/7"", ""11/12"", ""2/5"", ""4/4"", ""1/1"", ""2023"", ""35/31"", ""15/10"", ""12/15"", ""6/2"", ""2/4"", ""-"", ""2022"", ""52/28"", ""29/11"", ""11/5"", ""9/11"", ""1/1""]",Zhang - Altmaier
0,1,3.55,1.29,ok,3193916,https://www.tennisexplorer.com/match-detail/?id=3193916,Brooksby,Baez,Brooksby Jenson,Baez Sebastian,5.91,1.96,1.78,1.1,5.96,1.96,1.1,1.76,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Brooksby - Baez"", ""Today"", "", 11:00,"", ""Rome"", "", 1. round, clay"", ""Brooksby Jenson"", ""Baez Sebastian"", ""63."", ""Singles ranking"", ""65."", ""26. 10. 2000"", ""Birthdate"", ""28. 12. 2000"", ""188 cm"", ""Height"", ""170 cm"", ""82 kg"", ""Weight"", ""70 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""1xBet"", "","", ""Unibet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Brooksby"", ""Career - Baez"", ""Surface"", ""Brooksby Jenson"", ""Baez Sebastian"", ""Indoors"", ""0/1"", ""-"", ""Clay"", ""0/2"", ""6/7"", ""Grass"", ""-"", ""-"", ""Hard"", ""4/6"", ""10/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""188/116"", ""31/18"", ""116/71"", ""27/17"", ""14/10"", ""-"", ""2026"", ""4/9"", ""0/2"", ""4/6"", ""0/1"", ""-"", ""-"", ""2025"", ""27/23"", ""9/4"", ""10/10"", ""1/4"", ""7/5"", ""-"", ""2023"", ""5/2"", ""-"", ""5/2"", ""-"", ""-"", ""-"", ""2022"", ""27/24"", ""2/4"", ""16/11"", ""6/5"", ""3/4"", ""-"", ""2021"", ""49/12"", ""8/1"", ""26/8""]",Brooksby - Baez
1,4,1.32,3.36,ok,3193914,https://www.tennisexplorer.com/match-detail/?id=3193914,Dzumhur,Mannarino,Dzumhur Damir,Mannarino Adrian,1.84,1.11,5.67,1.88,1.83,1.11,1.88,5.67,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Dzumhur - Mannarino"", ""Today"", "", 11:00,"", ""Rome"", "", 1. round, clay"", ""Dzumhur Damir"", ""Mannarino Adrian"", ""87."", ""Singles ranking"", ""45."", ""20. 5. 1992"", ""Birthdate"", ""29. 6. 1988"", ""175 cm"", ""Height"", ""180 cm"", ""68 kg"", ""Weight"", ""79 kg"", ""right"", ""Plays"", ""left"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Dzumhur"", ""Career - Mannarino"", ""Surface"", ""Dzumhur Damir"", ""Mannarino Adrian"", ""Indoors"", ""-"", ""5/3"", ""Clay"", ""5/8"", ""0/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""2/7"", ""2/7"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""655/473"", ""357/211"", ""140/130"", ""117/95"", ""16/21"", ""25/16"", ""2026"", ""7/15"", ""5/8"", ""2/7"", ""-"", ""-"", ""-"", ""2025"", ""40/37"", ""21/16"", ""9/11"", ""7/6"", ""0/3"", ""3/1"", ""2024"", ""49/34"", ""30/9"", ""11/13"", ""4/8"", ""2/3"", ""2/1"", ""2023"", ""43/37"", ""18/18"", ""15/5"", ""10/10"", ""0/1"", ""0/3"", ""2022"", ""34/31"", ""16/15"", ""5/5"", ""10/11"", ""-""]",Dzumhur - Mannarino
2,2,1.61,2.29,ok,3193910,https://www.tennisexplorer.com/match-detail/?id=3193910,Marozsan,Kopriva,Marozsan Fabian,Kopriva Vit,2.42,1.23,3.78,1.51,2.41,1.23,1.51,3.79,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Marozsan - Kopriva"", ""Today"", "", 11:00,"", ""Rome"", "", 1. round, clay"", ""Marozsan Fabian"", ""Kopriva Vit"", ""49."", ""Singles ranking"", ""55."", ""8. 10. 1999"", ""Birthdate"", ""15. 6. 1997"", ""-"", ""Height"", ""178 cm"", ""-"", ""Weight"", ""69 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Marozsan"", ""Career - Kopriva"", ""Surface"", ""Marozsan Fabian"", ""Kopriva Vit"", ""Indoors"", ""-"", ""-"", ""Clay"", ""5/4"", ""11/8"", ""Grass"", ""-"", ""-"", ""Hard"", ""6/7"", ""6/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""301/196"", ""198/111"", ""68/45"", ""28/25"", ""5/9"", ""2/6"", ""2026"", ""11/12"", ""5/4"", ""6/7"", ""-"", ""-"", ""0/1"", ""2025"", ""29/27"", ""10/6"", ""13/12"", ""3/4"", ""2/3"", ""1/2"", ""2024"", ""24/31"", ""6/9"", ""15/11"", ""2/6"", ""1/4"", ""0/1"", ""2023"", ""50/29"", ""34/13"", ""7/5"", ""6/8"", ""2/2"", ""1/1"", ""2022"", ""48/19"", ""31/12"", ""10/3"", ""7/4"", ""-""]",Marozsan - Kopriva
1,0,2.17,1.68,ok,3193908,https://www.tennisexplorer.com/match-detail/?id=3193908,Muller,Van De Zandschulp,Muller Alexandre,Van De Zandschulp Botic,3.49,1.45,2.57,1.26,3.48,1.45,1.26,2.56,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Muller - Van De Zandschulp"", ""Today"", "", 12:30,"", ""Rome"", "", 1. round, clay"", ""Muller Alexandre"", ""Van De Zandschulp Botic"", ""105."", ""Singles ranking"", ""54."", ""1. 2. 1997"", ""Birthdate"", ""4. 10. 1995"", ""183 cm"", ""Height"", ""188 cm"", ""75 kg"", ""Weight"", ""83 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Muller"", ""Career - Van De Zandschulp"", ""Surface"", ""Muller Alexandre"", ""Van De Zandschulp Botic"", ""Indoors"", ""-"", ""2/2"", ""Clay"", ""7/6"", ""4/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""2/4"", ""4/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""492/345"", ""272/174"", ""159/102"", ""58/60"", ""3/8"", ""0/1"", ""2026"", ""9/11"", ""7/6"", ""2/4"", ""-"", ""-"", ""0/1"", ""2025"", ""26/29"", ""11/10"", ""12/12"", ""3/4"", ""0/3"", ""-"", ""2024"", ""35/33"", ""20/12"", ""11/14"", ""3/6"", ""1/1"", ""-"", ""2023"", ""52/34"", ""20/12"", ""20/13"", ""11/8"", ""1/1"", ""-"", ""2022"", ""39/33"", ""28/22"", ""6/6"", ""4/4"", ""1/1""]",Muller - Van De Zandschulp
,,1.45,2.72,ok,3193906,https://www.tennisexplorer.com/match-detail/?id=3193906,Ugo Carabelli,Shevchenko,Ugo Carabelli Camilo,Shevchenko Alexander,2.13,1.17,4.56,1.61,2.19,1.17,1.61,4.44,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Ugo Carabelli - Shevchenko"", ""Today"", "", 12:30,"", ""Rome"", "", 1. round, clay"", ""Ugo Carabelli Camilo"", ""Shevchenko Alexander"", ""61."", ""Singles ranking"", ""85."", ""17. 6. 1999"", ""Birthdate"", ""29. 11. 2000"", ""185 cm"", ""Height"", ""185 cm"", ""83 kg"", ""Weight"", ""70 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Ugo Carabelli"", ""Career - Shevchenko"", ""Surface"", ""Ugo Carabelli Camilo"", ""Shevchenko Alexander"", ""Indoors"", ""-"", ""2/2"", ""Clay"", ""12/6"", ""4/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""2/5"", ""9/8"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""395/246"", ""354/194"", ""39/41"", ""2/4"", ""0/7"", ""-"", ""2026"", ""14/11"", ""12/6"", ""2/5"", ""-"", ""-"", ""-"", ""2025"", ""34/32"", ""28/15"", ""5/9"", ""1/3"", ""0/5"", ""-"", ""2024"", ""58/31"", ""52/25"", ""6/5"", ""-"", ""0/1"", ""-"", ""2023"", ""41/28"", ""41/26"", ""0/2"", ""-"", ""-"", ""-"", ""2022"", ""39/24"", ""36/19"", ""3/4"", ""-"", ""0/1""]",Ugo Carabelli - Shevchenko
,,1.42,2.81,ok,3193904,https://www.tennisexplorer.com/match-detail/?id=3193904,Trungelliti,Svajda,Trungelliti Marco,Svajda Zachary,2.05,1.16,4.69,1.68,2.06,1.16,1.68,4.66,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Trungelliti - Svajda"", ""Today"", "", 12:30,"", ""Rome"", "", 1. round, clay"", ""Trungelliti Marco"", ""Svajda Zachary"", ""78."", ""Singles ranking"", ""90."", ""31. 1. 1990"", ""Birthdate"", ""-"", ""178 cm"", ""Height"", ""175 cm"", ""78 kg"", ""Weight"", ""59 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Trungelliti"", ""Career - Svajda"", ""Surface"", ""Trungelliti Marco"", ""Svajda Zachary"", ""Indoors"", ""-"", ""2/1"", ""Clay"", ""15/6"", ""0/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""2/3"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""689/460"", ""554/330"", ""97/83"", ""20/31"", ""9/14"", ""9/2"", ""2026"", ""17/11"", ""15/6"", ""2/3"", ""-"", ""-"", ""0/2"", ""2025"", ""51/32"", ""46/22"", ""4/5"", ""0/3"", ""1/2"", ""-"", ""2024"", ""50/31"", ""35/17"", ""12/11"", ""2/2"", ""1/1"", ""-"", ""2023"", ""44/31"", ""36/21"", ""7/8"", ""1/1"", ""0/1"", ""-"", ""2022"", ""27/20"", ""20/15"", ""4/3"", ""3/2"", ""-""]",Trungelliti - Svajda
1,0,1.44,2.74,ok,3193918,https://www.tennisexplorer.com/match-detail/?id=3193918,Hurkacz,Hanfmann,Hurkacz Hubert,Hanfmann Yannick,2.15,1.17,4.57,1.64,2.14,1.17,1.64,4.5,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:03,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Hurkacz - Hanfmann"", ""Today"", "", 13:00,"", ""Rome"", "", 1. round, clay"", ""Hurkacz Hubert"", ""Hanfmann Yannick"", ""53."", ""Singles ranking"", ""59."", ""11. 2. 1997"", ""Birthdate"", ""13. 11. 1991"", ""196 cm"", ""Height"", ""193 cm"", ""81 kg"", ""Weight"", ""86 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""1xBet"", "","", ""Unibet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Hurkacz"", ""Career - Hanfmann"", ""Surface"", ""Hurkacz Hubert"", ""Hanfmann Yannick"", ""Indoors"", ""0/2"", ""-"", ""Clay"", ""7/3"", ""8/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""5/6"", ""4/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""433/260"", ""121/70"", ""197/102"", ""76/63"", ""30/16"", ""9/9"", ""2026"", ""12/11"", ""7/3"", ""5/6"", ""0/2"", ""-"", ""-"", ""2025"", ""15/11"", ""7/4"", ""4/5"", ""3/2"", ""1/0"", ""-"", ""2024"", ""41/19"", ""14/4"", ""17/10"", ""3/3"", ""6/2"", ""1/0"", ""2023"", ""48/24"", ""5/5"", ""22/11"", ""13/5"", ""7/3"", ""1/0"", ""2022"", ""42/22"", ""9/4"", ""18/9""]",Hurkacz - Hanfmann
,,2.52,1.52,ok,3196246,https://www.tennisexplorer.com/match-detail/?id=3196246,Struff,Comesana,Struff Jan-Lennard,Comesana Francisco,4.22,1.56,2.26,1.2,4.09,1.56,1.2,2.29,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:04,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Struff - Comesana"", ""Today"", "", 14:00,"", ""Rome"", "", 1. round, clay"", ""Struff Jan-Lennard"", ""Comesana Francisco"", ""83."", ""Singles ranking"", ""114."", ""25. 4. 1990"", ""Birthdate"", ""6. 10. 2000"", ""193 cm"", ""Height"", ""-"", ""92 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""1xBet"", "","", ""Unibet"", ""W/L - 2026"", ""Career - Struff"", ""Career - Comesana"", ""Surface"", ""Struff Jan-Lennard"", ""Comesana Francisco"", ""Indoors"", ""1/1"", ""-"", ""Clay"", ""1/2"", ""6/8"", ""Grass"", ""-"", ""-"", ""Hard"", ""4/8"", ""2/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""693/504"", ""347/197"", ""109/123"", ""187/132"", ""33/40"", ""17/12"", ""2026"", ""7/11"", ""1/2"", ""4/8"", ""1/1"", ""-"", ""1/0"", ""2025"", ""27/31"", ""5/9"", ""7/11"", ""11/6"", ""3/3"", ""1/2"", ""2024"", ""31/23"", ""15/5"", ""5/10"", ""3/4"", ""6/2"", ""2/2"", ""2023"", ""45/24"", ""14/7"", ""21/9"", ""5/6"", ""5/2"", ""-"", ""2022"", ""29/22"", ""13/3"", ""3/10"", ""8/4"", ""1/4""]",Struff - Comesana
2,3,1.61,2.29,ok,3193912,https://www.tennisexplorer.com/match-detail/?id=3193912,Arnaldi,Munar,Arnaldi Matteo,Munar Jaume,2.45,1.23,3.73,1.51,2.41,1.23,1.51,3.73,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""06.05. 02:04,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Arnaldi - Munar"", ""Today"", "", 14:30,"", ""Rome"", "", 1. round, clay"", ""Arnaldi Matteo"", ""Munar Jaume"", ""106."", ""Singles ranking"", ""38."", ""22. 2. 2001"", ""Birthdate"", ""5. 5. 1997"", ""-"", ""Height"", ""183 cm"", ""-"", ""Weight"", ""76 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""1xBet"", "","", ""Unibet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Arnaldi"", ""Career - Munar"", ""Surface"", ""Arnaldi Matteo"", ""Munar Jaume"", ""Indoors"", ""-"", ""2/1"", ""Clay"", ""6/5"", ""1/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""1/4"", ""3/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""251/172"", ""143/79"", ""86/59"", ""14/27"", ""4/6"", ""4/1"", ""2026"", ""7/8"", ""6/5"", ""1/3"", ""-"", ""-"", ""-"", ""2025"", ""23/26"", ""7/6"", ""11/14"", ""5/4"", ""0/2"", ""-"", ""2024"", ""29/26"", ""10/9"", ""17/13"", ""0/2"", ""1/2"", ""1/0"", ""2023"", ""51/26"", ""23/7"", ""21/15"", ""1/2"", ""3/1"", ""3/1"", ""2022"", ""50/36"", ""37/21"", ""9/3""]",Arnaldi - Munar
