category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
masters_1000,Italy,men,0,0,3193096,https://www.tennisexplorer.com/match-detail/?id=3193096,1.2,4.29,Comesana,Harris,"8,235,540 €",Q-1R,Q-1R,12,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 10:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193094,https://www.tennisexplorer.com/match-detail/?id=3193094,1.19,4.39,Merida Aguilar,McDonald,"8,235,540 €",Q-1R,Q-1R,10,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 10:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193080,https://www.tennisexplorer.com/match-detail/?id=3193080,2.12,1.67,Vasami,Barrios Vera,"8,235,540 €",Q-1R,Q-1R,,23,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 10:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3193078,https://www.tennisexplorer.com/match-detail/?id=3193078,2.59,1.46,Martinez,De Jong,"8,235,540 €",Q-1R,Q-1R,,14,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 10:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,2,0,3193076,https://www.tennisexplorer.com/match-detail/?id=3193076,1.14,5.33,Garin,Echargui,"8,235,540 €",Q-1R,Q-1R,1,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 10:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193098,https://www.tennisexplorer.com/match-detail/?id=3193098,3.02,1.35,Riedi,Gaubas,"8,235,540 €",Q-1R,Q-1R,,24,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193090,https://www.tennisexplorer.com/match-detail/?id=3193090,1.59,2.18,Van Assche,Dellien,"8,235,540 €",Q-1R,Q-1R,7,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193088,https://www.tennisexplorer.com/match-detail/?id=3193088,1.78,1.97,Travaglia,Wawrinka,"8,235,540 €",Q-1R,Q-1R,,13,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193086,https://www.tennisexplorer.com/match-detail/?id=3193086,1.5,2.5,Carreno-Busta,Damm,"8,235,540 €",Q-1R,Q-1R,4,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,1,3193084,https://www.tennisexplorer.com/match-detail/?id=3193084,1.37,2.92,Kypson,Pinnington Jones,"8,235,540 €",Q-1R,Q-1R,3,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,1,3193082,https://www.tennisexplorer.com/match-detail/?id=3193082,1.59,2.25,Lajovic,Choinski,"8,235,540 €",Q-1R,Q-1R,,20,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 11:30",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3193106,https://www.tennisexplorer.com/match-detail/?id=3193106,1.63,2.2,Budkov Kjaer,Virtanen,"8,235,540 €",Q-1R,Q-1R,,22,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 13:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,1,0,3193104,https://www.tennisexplorer.com/match-detail/?id=3193104,1.71,2.07,Bonzi,Svrcina,"8,235,540 €",Q-1R,Q-1R,11,,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 13:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,2,0,3193102,https://www.tennisexplorer.com/match-detail/?id=3193102,1.98,1.76,Pellegrino,Gaston,"8,235,540 €",Q-1R,Q-1R,,17,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 13:00",upcoming,clay,atp-men,Rome,2026
masters_1000,Italy,men,0,0,3193100,https://www.tennisexplorer.com/match-detail/?id=3193100,6.03,1.11,Martin Manzano,Droguet,"8,235,540 €",Q-1R,Q-1R,,16,https://www.tennisexplorer.com/rome/2026/atp-men/?phase=qualification,"today , 13:00",upcoming,clay,atp-men,Rome,2026
