h2h_player1_wins,h2h_player2_wins,homeaway_avg_odds1,homeaway_avg_odds2,market_odds_check,match_id,match_url,player1,player2,set_odds_handicap_player1,set_odds_handicap_player2,set_odds_player1_wins_2_0,set_odds_player1_wins_set,set_odds_player2_wins_2_0,set_odds_player2_wins_set,set_odds_table_player1_minus_1_5,set_odds_table_player1_plus_1_5,set_odds_table_player2_minus_1_5,set_odds_table_player2_plus_1_5,set_odds_validation,source_lines_sample,title
2,0,1.54,2.46,ok,3197820,https://www.tennisexplorer.com/match-detail/?id=3197820,Ruud,Lehecka,Ruud Casper,Lehecka Jiri,2.31,1.2,4.01,1.55,2.33,1.2,1.55,4.03,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Ruud - Lehecka"", ""Today"", "", 11:00,"", ""Rome"", "", 3. round, clay"", ""Ruud Casper"", ""Lehecka Jiri"", ""25."", ""Singles ranking"", ""13."", ""22. 12. 1998"", ""Birthdate"", ""8. 11. 2001"", ""183 cm"", ""Height"", ""183 cm"", ""77 kg"", ""Weight"", ""80 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Ruud"", ""Career - Lehecka"", ""Surface"", ""Ruud Casper"", ""Lehecka Jiri"", ""Indoors"", ""-"", ""-"", ""Clay"", ""6/2"", ""6/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""9/7"", ""10/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""475/261"", ""259/115"", ""130/87"", ""61/45"", ""6/9"", ""19/5"", ""2026"", ""15/9"", ""6/2"", ""9/7"", ""-"", ""-"", ""-"", ""2025"", ""42/17"", ""14/5"", ""15/9"", ""11/3"", ""-"", ""2/0"", ""2024"", ""54/27"", ""24/7"", ""21/10"", ""6/8"", ""1/1"", ""2/1"", ""2023"", ""39/23"", ""22/8"", ""12/12"", ""4/2"", ""1/1"", ""-""]",Ruud - Lehecka
,,3.01,1.38,ok,3197996,https://www.tennisexplorer.com/match-detail/?id=3197996,Humbert,Prizmic,Humbert Ugo,Prizmic Dino,5.06,1.73,1.98,1.14,5.03,1.73,1.14,2.0,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Humbert - Prizmic"", ""Today"", "", 12:30,"", ""Rome"", "", 3. round, clay"", ""Humbert Ugo"", ""Prizmic Dino"", ""33."", ""Singles ranking"", ""79."", ""26. 6. 1998"", ""Birthdate"", ""5. 8. 2005"", ""188 cm"", ""Height"", ""-"", ""73 kg"", ""Weight"", ""-"", ""left"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Humbert"", ""Career - Prizmic"", ""Surface"", ""Humbert Ugo"", ""Prizmic Dino"", ""Indoors"", ""4/2"", ""-"", ""Clay"", ""2/2"", ""18/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/9"", ""5/3"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""389/258"", ""52/59"", ""165/100"", ""135/72"", ""31/25"", ""6/2"", ""2026"", ""13/13"", ""2/2"", ""7/9"", ""4/2"", ""-"", ""-"", ""2025"", ""28/23"", ""2/5"", ""10/11"", ""11/3"", ""4/4"", ""1/0"", ""2024"", ""41/26"", ""5/7"", ""20/11"", ""10/3"", ""5/4"", ""1/1"", ""2023"", ""49/26"", ""13/5"", ""17/11"", ""12/5"", ""3/4"", ""4/1"", ""2022"", ""33/29""]",Humbert - Prizmic
0,1,3.81,1.26,ok,3197940,https://www.tennisexplorer.com/match-detail/?id=3197940,Blockx,Zverev,Blockx Alexander,Zverev Alexander,6.19,1.93,1.79,1.09,6.24,1.93,1.09,1.78,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Blockx - Zverev"", ""Today"", "", 13:00,"", ""Rome"", "", 3. round, clay"", ""Blockx Alexander"", ""Zverev Alexander"", ""36."", ""Singles ranking"", ""3."", ""8. 4. 2005"", ""Birthdate"", ""20. 4. 1997"", ""-"", ""Height"", ""198 cm"", ""-"", ""Weight"", ""90 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Blockx"", ""Career - Zverev"", ""Surface"", ""Blockx Alexander"", ""Zverev Alexander"", ""Indoors"", ""4/2"", ""-"", ""Clay"", ""12/3"", ""12/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""11/5"", ""15/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""150/85"", ""38/22"", ""39/30"", ""68/27"", ""4/4"", ""1/2"", ""2026"", ""28/10"", ""12/3"", ""11/5"", ""4/2"", ""-"", ""1/0"", ""2025"", ""46/28"", ""4/4"", ""15/9"", ""23/10"", ""4/4"", ""0/1"", ""2024"", ""33/24"", ""9/3"", ""7/11"", ""17/9"", ""-"", ""0/1"", ""2023"", ""39/15"", ""11/7"", ""4/3"", ""24/5"", ""-"", ""-""]",Blockx - Zverev
1,1,1.66,2.19,ok,3197834,https://www.tennisexplorer.com/match-detail/?id=3197834,Khachanov,Van De Zandschulp,Khachanov Karen,Van De Zandschulp Botic,2.59,1.26,3.57,1.45,2.56,1.26,1.45,3.49,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Khachanov - Van De Zandschulp"", ""Today"", "", 14:00,"", ""Rome"", "", 3. round, clay"", ""Khachanov Karen"", ""Van De Zandschulp Botic"", ""15."", ""Singles ranking"", ""54."", ""21. 5. 1996"", ""Birthdate"", ""4. 10. 1995"", ""198 cm"", ""Height"", ""188 cm"", ""87 kg"", ""Weight"", ""83 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Khachanov"", ""Career - Van De Zandschulp"", ""Surface"", ""Khachanov Karen"", ""Van De Zandschulp Botic"", ""Indoors"", ""1/1"", ""2/2"", ""Clay"", ""2/3"", ""6/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""8/7"", ""4/5"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""475/324"", ""115/82"", ""189/128"", ""127/84"", ""37/23"", ""7/7"", ""2026"", ""11/11"", ""2/3"", ""8/7"", ""1/1"", ""-"", ""-"", ""2025"", ""34/24"", ""9/6"", ""13/11"", ""2/4"", ""10/3"", ""-"", ""2024"", ""37/23"", ""8/4"", ""14/13"", ""14/3"", ""1/3"", ""-"", ""2023"", ""34/18"", ""10/5"", ""18/10"", ""6/3"", ""-"", ""-"", ""2022"", ""36/25""]",Khachanov - Van De Zandschulp
2,2,1.86,1.93,ok,3198024,https://www.tennisexplorer.com/match-detail/?id=3198024,Musetti,Cerundolo,Musetti Lorenzo,Cerundolo Francisco,2.94,1.34,3.05,1.36,2.9,1.34,1.36,2.99,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Musetti - Cerundolo"", ""Today"", "", 15:00,"", ""Rome"", "", 3. round, clay"", ""Musetti Lorenzo"", ""Cerundolo Francisco"", ""10."", ""Singles ranking"", ""27."", ""3. 3. 2002"", ""Birthdate"", ""13. 8. 1998"", ""185 cm"", ""Height"", ""185 cm"", ""75 kg"", ""Weight"", ""78 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Musetti"", ""Career - Cerundolo"", ""Surface"", ""Musetti Lorenzo"", ""Cerundolo Francisco"", ""Indoors"", ""-"", ""-"", ""Clay"", ""5/3"", ""13/5"", ""Grass"", ""-"", ""-"", ""Hard"", ""7/3"", ""7/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""297/197"", ""151/77"", ""75/60"", ""50/43"", ""19/12"", ""2/5"", ""2026"", ""12/6"", ""5/3"", ""7/3"", ""-"", ""-"", ""-"", ""2025"", ""45/22"", ""19/4"", ""18/11"", ""8/6"", ""0/1"", ""-"", ""2024"", ""46/30"", ""18/10"", ""13/12"", ""3/4"", ""12/3"", ""0/1"", ""2023"", ""33/30"", ""16/11"", ""10/10"", ""0/3"", ""7/4"", ""0/2""]",Musetti - Cerundolo
,,2.61,1.49,ok,3197896,https://www.tennisexplorer.com/match-detail/?id=3197896,Tien,Bublik,Tien Learner,Bublik Alexander,4.29,1.59,2.21,1.19,4.24,1.59,1.19,2.23,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Tien - Bublik"", ""Today"", "", 15:30,"", ""Rome"", "", 3. round, clay"", ""Tien Learner"", ""Bublik Alexander"", ""21."", ""Singles ranking"", ""11."", ""2. 12. 2005"", ""Birthdate"", ""17. 6. 1997"", ""-"", ""Height"", ""198 cm"", ""-"", ""Weight"", ""77 kg"", ""left"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""W/L - 2026"", ""Career - Tien"", ""Career - Bublik"", ""Surface"", ""Tien Learner"", ""Bublik Alexander"", ""Indoors"", ""0/1"", ""3/1"", ""Clay"", ""2/2"", ""3/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""11/6"", ""10/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""164/71"", ""8/13"", ""121/42"", ""31/11"", ""4/4"", ""0/1"", ""2026"", ""13/9"", ""2/2"", ""11/6"", ""0/1"", ""-"", ""-"", ""2025"", ""43/26"", ""3/7"", ""26/13"", ""10/2"", ""4/4"", ""-"", ""2024"", ""63/14"", ""0/1"", ""53/8"", ""10/5"", ""-"", ""-"", ""2023"", ""30/10"", ""-"", ""20/10"", ""10/0"", ""-"", ""-"", ""2022"", ""12/12""]",Tien - Bublik
2,0,1.68,2.17,ok,3198026,https://www.tennisexplorer.com/match-detail/?id=3198026,Paul,Darderi,Paul Tommy,Darderi Luciano,2.62,1.26,3.5,1.43,2.62,1.26,1.43,3.52,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Paul - Darderi"", ""Today"", "", 17:30,"", ""Rome"", "", 3. round, clay"", ""Paul Tommy"", ""Darderi Luciano"", ""18."", ""Singles ranking"", ""20."", ""17. 5. 1997"", ""Birthdate"", ""14. 2. 2002"", ""185 cm"", ""Height"", ""-"", ""82 kg"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", "","", ""bwin"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Paul"", ""Career - Darderi"", ""Surface"", ""Paul Tommy"", ""Darderi Luciano"", ""Indoors"", ""1/1"", ""-"", ""Clay"", ""5/1"", ""12/6"", ""Grass"", ""-"", ""-"", ""Hard"", ""13/6"", ""4/4"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""485/281"", ""142/74"", ""243/150"", ""61/36"", ""33/18"", ""6/3"", ""2026"", ""20/8"", ""5/1"", ""13/6"", ""1/1"", ""-"", ""1/0"", ""2025"", ""30/13"", ""12/4"", ""13/6"", ""4/1"", ""1/2"", ""-"", ""2024"", ""45/19"", ""10/4"", ""17/11"", ""8/2"", ""10/2"", ""-"", ""2023"", ""46/29"", ""5/6"", ""29/13"", ""2/3"", ""9/5"", ""1/2""]",Paul - Darderi
,,3.62,1.29,ok,3197778,https://www.tennisexplorer.com/match-detail/?id=3197778,Arnaldi,Jodar,Arnaldi Matteo,Jodar Rafael,5.96,1.94,1.77,1.1,5.9,1.94,1.1,1.77,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Arnaldi - Jodar"", ""Today"", "", 20:30,"", ""Rome"", "", 3. round, clay"", ""Arnaldi Matteo"", ""Jodar Rafael"", ""106."", ""Singles ranking"", ""34."", ""22. 2. 2001"", ""Birthdate"", ""17. 9. 2006"", ""-"", ""Height"", ""-"", ""-"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""TV"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""Sky Sports Tennis (Gbr/Irl), beIN Sports 1 (Aus)"", ""W/L - 2026"", ""Career - Arnaldi"", ""Career - Jodar"", ""Surface"", ""Arnaldi Matteo"", ""Jodar Rafael"", ""Indoors"", ""-"", ""2/1"", ""Clay"", ""8/5"", ""13/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""1/4"", ""16/6"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""253/172"", ""145/79"", ""86/59"", ""14/27"", ""4/6"", ""4/1"", ""2026"", ""9/8"", ""8/5"", ""1/3"", ""-"", ""-"", ""-"", ""2025"", ""23/26"", ""7/6"", ""11/14"", ""5/4"", ""0/2"", ""-"", ""2024"", ""29/26"", ""10/9"", ""17/13"", ""0/2"", ""1/2"", ""1/0"", ""2023"", ""51/26"", ""23/7"", ""21/15"", ""1/2"", ""3/1"", ""3/1"", ""2022"", ""50/36""]",Arnaldi - Jodar
2,1,1.03,11.26,ok,3198476,https://www.tennisexplorer.com/match-detail/?id=3198476,Sinner,Popyrin,Sinner Jannik,Popyrin Alexei,1.2,1.01,23.0,4.17,1.19,1.01,4.17,15.0,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Sinner - Popyrin"", ""11.05.2026"", "", 11:00,"", ""Rome"", "", 3. round, clay"", ""Sinner Jannik"", ""Popyrin Alexei"", ""1."", ""Singles ranking"", ""60."", ""16. 8. 2001"", ""Birthdate"", ""5. 8. 1999"", ""188 cm"", ""Height"", ""196 cm"", ""76 kg"", ""Weight"", ""78 kg"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Sinner"", ""Career - Popyrin"", ""Surface"", ""Sinner Jannik"", ""Popyrin Alexei"", ""Indoors"", ""0/1"", ""0/1"", ""Clay"", ""12/0"", ""4/3"", ""Grass"", ""-"", ""-"", ""Hard"", ""19/2"", ""2/8"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""451/137"", ""113/45"", ""183/51"", ""111/27"", ""32/13"", ""12/1"", ""2026"", ""31/3"", ""12/0"", ""19/2"", ""0/1"", ""-"", ""-"", ""2025"", ""61/6"", ""11/2"", ""24/3"", ""18/0"", ""8/1"", ""-"", ""2024"", ""78/6"", ""11/2"", ""42/3"", ""13/0"", ""9/1"", ""3/0"", ""2023"", ""64/15"", ""8/3"", ""28/7"", ""17/2"", ""8/3"", ""3/0"", ""2022"", ""47/16"", ""15/4"", ""21/6""]",Sinner - Popyrin
0,1,2.17,1.6,ok,3198470,https://www.tennisexplorer.com/match-detail/?id=3198470,Navone,Medjedovic,Navone Mariano,Medjedovic Hamad,3.84,1.49,2.47,1.24,3.67,1.49,1.24,2.43,selected_below_moneyline,"[""Tennis Explorer - Match detail"", ""New registration"", ""|"", ""Lost password"", ""TennisExplorer"", ""LIVE Scores"", ""10.05. 03:05,"", ""GMT+1"", ""Home page"", ""Today's matches"", ""Rankings"", ""Players"", ""LIVE Scores"", ""Results"", ""Tours calendar"", ""Tennis news"", ""Official webs"", ""Basel"", ""Vienna"", ""WTA Elite Trophy"", ""TennisExplorer"", ""on Facebook"", ""Navone - Medjedovic"", ""11.05.2026"", "", 11:00,"", ""Rome"", "", 3. round, clay"", ""Navone Mariano"", ""Medjedovic Hamad"", ""44."", ""Singles ranking"", ""67."", ""27. 2. 2001"", ""Birthdate"", ""18. 7. 2003"", ""-"", ""Height"", ""-"", ""-"", ""Weight"", ""-"", ""right"", ""Plays"", ""right"", ""-"", ""Turned pro"", ""-"", ""Live streams"", ""bet365"", "","", ""Unibet"", "","", ""1xBet"", ""W/L - 2026"", ""Career - Navone"", ""Career - Medjedovic"", ""Surface"", ""Navone Mariano"", ""Medjedovic Hamad"", ""Indoors"", ""-"", ""2/3"", ""Clay"", ""10/6"", ""12/2"", ""Grass"", ""-"", ""-"", ""Hard"", ""6/5"", ""4/2"", ""Not set"", ""-"", ""-"", ""Year"", ""Summary"", ""Clay"", ""Hard"", ""Indoors"", ""Grass"", ""Not set"", ""Summary:"", ""278/176"", ""257/137"", ""17/28"", ""1/4"", ""2/6"", ""1/1"", ""2026"", ""16/11"", ""10/6"", ""6/5"", ""-"", ""-"", ""-"", ""2025"", ""38/31"", ""30/16"", ""5/12"", ""-"", ""2/2"", ""1/1"", ""2024"", ""30/28"", ""27/14"", ""2/7"", ""1/4"", ""0/3"", ""-"", ""2023"", ""41/23"", ""41/21"", ""0/1"", ""-"", ""0/1"", ""-"", ""2022"", ""44/25"", ""44/24"", ""0/1""]",Navone - Medjedovic
