category,country,gender,h2h_player1_wins,h2h_player2_wins,match_id,match_url,odds1_avg,odds2_avg,player1,player2,prize_money,round,round_name,seed1,seed2,source_url,start_raw,status,surface,tour,tournament,year
atp_250,Germany,men,1,0,3227193,https://www.tennisexplorer.com/match-detail/?id=3227193,1.61,2.29,Halys,Shimabukuro,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 11:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,0,3225327,https://www.tennisexplorer.com/match-detail/?id=3225327,1.51,2.55,Hanfmann,Kovacevic,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 11:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,3,0,3225319,https://www.tennisexplorer.com/match-detail/?id=3225319,2.17,1.68,Bautista-Agut,Giron,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 11:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,1,3229483,https://www.tennisexplorer.com/match-detail/?id=3229483,,,Safiullin,Mpetshi Perricard,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 12:30",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,0,3227195,https://www.tennisexplorer.com/match-detail/?id=3227195,1.37,3.07,Struff,Galarneau,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 13:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,0,3225333,https://www.tennisexplorer.com/match-detail/?id=3225333,4.26,1.22,Gentzsch,Hijikata,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 14:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,3,3225321,https://www.tennisexplorer.com/match-detail/?id=3225321,3.43,1.31,Altmaier,Tiafoe,"768,220 €",1R,1R,,6.0,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 15:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,0,3225331,https://www.tennisexplorer.com/match-detail/?id=3225331,3.14,1.35,Dedura-Palomero,Duckworth,"768,220 €",1R,1R,,,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 16:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Germany,men,0,0,3225329,https://www.tennisexplorer.com/match-detail/?id=3225329,2.55,1.5,Kyrgios,Moutet,"768,220 €",1R,1R,,8.0,https://www.tennisexplorer.com/stuttgart/2026/atp-men/,"today , 17:00",upcoming,grass,atp-men,Stuttgart,2026
atp_250,Netherlands,men,0,0,3227231,https://www.tennisexplorer.com/match-detail/?id=3227231,2.01,1.78,Munar,Damm,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 11:00",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,0,0,3225349,https://www.tennisexplorer.com/match-detail/?id=3225349,2.02,1.77,Diallo,Mannarino,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 11:00",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,0,1,3225347,https://www.tennisexplorer.com/match-detail/?id=3225347,2.1,1.72,Zhang,Brooksby,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 12:30",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,3,3,3225345,https://www.tennisexplorer.com/match-detail/?id=3225345,1.55,2.42,Griekspoor,Van De Zandschulp,"723,435 €",1R,1R,6.0,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 12:30",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,0,3,3225335,https://www.tennisexplorer.com/match-detail/?id=3225335,1.37,3.04,Hurkacz,Fucsovics,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 14:00",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,0,0,3227225,https://www.tennisexplorer.com/match-detail/?id=3227225,2.94,1.39,McCabe,Bergs,"723,435 €",1R,1R,,8.0,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 14:30",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,1,0,3225337,https://www.tennisexplorer.com/match-detail/?id=3225337,1.85,1.92,Virtanen,Majchrzak,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 15:30",upcoming,grass,atp-men,Hertogenbosch,2026
atp_250,Netherlands,men,0,0,3225339,https://www.tennisexplorer.com/match-detail/?id=3225339,3.96,1.24,Boogaard,Wu,"723,435 €",1R,1R,,,https://www.tennisexplorer.com/hertogenbosch/2026/atp-men/,"today , 16:00",upcoming,grass,atp-men,Hertogenbosch,2026
